CEO,companyName,description,exchange,industry,issueType,sector,symbol,tags,website
Dominic J. Addesso,Everest Re Group Ltd.,Everest Re Group Ltd is engaged in the insurance business. Its offering comprises of property and casualty reinsurance & insurance products and services.,New York Stock Exchange,Insurance - Specialty,cs,Financial Services,RE,"['Financial Services', 'Insurance - Reinsurance', 'Insurance - Specialty']",http://www.everestregroup.com
Kate W. Duchene,Resources Connection Inc.,"Resources Connection Inc is a multinational consulting firm. It provides consulting and business initiative support services to its client in the areas of accounting, finance, corporate governance, risk and compliance management.",Nasdaq Global Select,Business Services,cs,Industrials,RECN,"['Industrials', 'Business Services']",http://www.rgp.com
Yiding Sun,RISE Education Cayman Ltd,"RISE Education Cayman Ltd through its subsidiaries provides junior English Language Training services in China under RISE brand. It offers educational programs, services & products, consisting of educational courses, and other complementary products.",NASDAQ Global Market,Education,cs,Consumer Defensive,REDU,"['Consumer Defensive', 'Education & Training Services', 'Education']",http://www.risecenter.com
Valentin Stalowir,Reeds Inc.,"Reed's Inc sells Ginger Beer brand. Its Virgil brand is independent, all-natural craft soda brand. The company's portfolio has sold in over 20,000 retail doors across the natural, specialty, grocery, drug, club and mass channels nationwide.",NYSE American,Beverages - Non-Alcoholic,cs,Consumer Defensive,REED,"['Consumer Defensive', 'Beverages - Soft Drinks', 'Beverages - Non-Alcoholic']",http://www.reedsinc.com
Joseph M. Harary,Research Frontiers Incorporated,"Research Frontiers Inc develops and licenses its patented suspended particle device light-control technology to other companies that manufacture and market either the SPD-Smart chemical emulsion, light-control film made from the chemical emulsion.",NASDAQ Capital Market,Computer Hardware,cs,Technology,REFR,"['Technology', 'Electronic Components', 'Computer Hardware']",http://www.SmartGlass.com
Martin E. Stein,Regency Centers Corporation,"Regency Centers Corp is a real estate investment trust and is a grocery-anchored shopping center company. It leases space in its shopping centers to grocery stores, retail anchors, restaurants, side-shop retailers, and service providers.",Nasdaq Global Select,REITs,cs,Real Estate,REG,"['Real Estate', 'REIT - Retail', 'REITs']",http://www.regencycenters.com
Randolph L. Howard,Renewable Energy Group Inc.,"Renewable Energy Group Inc (REG) is a producer of biofuels. It is engaged in providing cleaner, lower carbon intensity products, and services. REG generates most of its revenue from the United States of America.",Nasdaq Global Select,Oil & Gas - Refining & Marketing,cs,Energy,REGI,"['Energy', 'Oil & Gas Refining & Marketing', 'Oil & Gas - Refining & Marketing']",http://www.regi.com
Leonard S. Schleifer,Regeneron Pharmaceuticals Inc.,"Regeneron Pharmaceuticals Inc is an integrated biopharmaceutical company. It discovers, invents, develops, manufactures, and commercializes medicines for the treatment of serious medical conditions.",Nasdaq Global Select,Biotechnology,cs,Healthcare,REGN,"['Healthcare', 'Biotechnology']",http://www.regeneron.com
Kelly Hoffman,Ring Energy Inc.,"Ring Energy Inc is a Midland-based exploration and production company that is engaged in oil and natural gas acquisition, exploration, development and production activities. Its exploration and production interests are in Texas.",NYSE American,Oil & Gas - E&P,cs,Energy,REI,"['Energy', 'Oil & Gas E&P', 'Oil & Gas - E&P']",http://www.ringenergy.com
Edward J. Richardson,Richardson Electronics Ltd.,"Richardson Electronics Ltd is a provider of engineered solutions, power grid and microwave tubes and related consumables and customized display solutions.",Nasdaq Global Select,Computer Hardware,cs,Technology,RELL,"['Technology', 'Electronics Distribution', 'Computer Hardware']",http://www.rell.com
Ryan A. Montgomery,Reliv' International Inc.,"Reliv' International Inc is a developer, manufacturer and marketer of a proprietary line of nutritional supplements addressing basic nutrition, specific wellness needs, weight management and sports nutrition.",NASDAQ Capital Market,Consumer Packaged Goods,cs,Consumer Defensive,RELV,"['Consumer Defensive', 'Packaged Foods', 'Consumer Packaged Goods']",http://www.reliv.com
Erik Engstrom,RELX PLC PLC American Depositary Shares (Each representing One),"RELX PLC is an information content provider in the United Kingdom. Its published content is used by various organisations such as scientific, technical, and medical. The company generates its revenue from Scientific, Technical and Medical segment.",New York Stock Exchange,Publishing,cs,Consumer Cyclical,RELX,"['Consumer Cyclical', 'Publishing']",http://www.relx.com
Richard F. Betz,Resolute Energy Corporation Comon Stock,"Resolute Energy Corp is an independent oil and gas company engaged in the exploitation, development, exploration for and acquisition of oil and gas properties located in Utah and Texas.",New York Stock Exchange,Oil & Gas - E&P,cs,Energy,REN,"['Energy', 'Oil & Gas E&P', 'Oil & Gas - E&P']",http://www.resoluteenergy.com
Joseph Chen,Renren Inc. American Depositary Shares each representing fifteen Class A,"Renren Inc is engaged in the operation of social networking internet platform, as well as provision of online advertising services and internet value-added services (""IVAS"") as well as the operation of financial services platforms.",New York Stock Exchange,Online Media,cs,Technology,RENN,"['Technology', 'Internet Content & Information', 'Online Media']",http://www.renren-inc.com
Geraldine A. Henwood,Recro Pharma Inc.,Recro Pharma Inc is a specialty pharmaceutical company. It develops non-opioid products for treatment of serious acute pain. The Company operates through two business divisions: Acute Care division and contract development and manufacturing division.,NASDAQ Capital Market,Biotechnology,cs,Healthcare,REPH,"['Healthcare', 'Biotechnology']",http://www.recropharma.com
Robert Coffin,Replimune Group Inc.,,Nasdaq Global Select,Biotechnology,cs,Healthcare,REPL,"['Healthcare', 'Biotechnology']",http://www.replimune.com
Richard A. Hubbell,RPC Inc.,"RPC Inc provides oilfield services and equipment to oil and gas companies engaged in the exploration, production and development of oil and gas properties throughout the United States.",New York Stock Exchange,Oil & Gas - Services,cs,Energy,RES,"['Energy', 'Oil & Gas Equipment & Services', 'Oil & Gas - Services']",http://www.rpc.net
George G. Ellison,Front Yard Residential Corporation,"Front Yard Residential Corp formerly, Altisource Residential Corp is a real estate investment trust, which focuses on acquiring, owning and managing single-family rental properties throughout the United States.",New York Stock Exchange,REITs,cs,Real Estate,RESI,"['Real Estate', 'REIT - Residential', 'REITs']",https://www.frontyardresidential.com
George Holmes,Resonant Inc.,"Resonant Inc is a late stage development company. It is developing software, intellectual property and services platform for mobile device industry.",NASDAQ Capital Market,Semiconductors,cs,Technology,RESN,"['Technology', 'Semiconductors']",http://www.resonant.com
J. Warren Huff,Reata Pharmaceuticals Inc.,"Reata Pharmaceuticals Inc is a clinical stage biopharmaceutical company engaged in identifying, developing, and commercializing product candidates to address rare and life-threatening diseases by targeting molecular pathways.",NASDAQ Global Market,Biotechnology,cs,Healthcare,RETA,"['Healthcare', 'Biotechnology']",http://www.reatapharma.com
Hengfang Li,ReTo Eco-Solutions Inc.,"ReTo Eco-Solutions Inc is engaged in manufacturing and distribution of eco-friendly construction materials and fly-ash, as well as equipment used to produce these eco-friendly construction materials.",NASDAQ Capital Market,Building Materials,cs,Basic Materials,RETO,"['Basic Materials', 'Building Materials']",http://www.retoeco.com
Debra G. Perelman,Revlon Inc.,"Revlon Inc is a cosmetics company. It manufactures and sells cosmetics, hair color, beauty tools, fragrances, skincare, deodorants and personal care products.",New York Stock Exchange,Consumer Packaged Goods,cs,Consumer Defensive,REV,"['Consumer Defensive', 'Household & Personal Products', 'Consumer Packaged Goods']",http://www.revlon.com
Timothy W. Sullivan,REV Group Inc.,"REV Group Inc is a designer, manufacturer and distributor of specialty vehicles and related aftermarket parts and services. It serves a diversified customer base in the United States through three segments, Fire & Emergency, Commercial and Recreation.",New York Stock Exchange,Autos,cs,Consumer Cyclical,REVG,"['Consumer Cyclical', 'Recreational Vehicles', 'Autos']",http://www.revgroup.com
Zafar Rizvi,REX American Resources Corporation,REX American Resources Corp is a holding company that conducts substantially all of its business operations through its subsidiaries. It is currently invested in ethanol production entities.,New York Stock Exchange,Chemicals,cs,Basic Materials,REX,"['Basic Materials', 'Chemicals']",http://www.rexamerican.com
Howard Schwimmer / Michael S. Frankel,Rexford Industrial Realty Inc.,"Rexford Industrial Realty Inc is a United States based self-administered and self-managed full-service real estate investment trust focused on owning, operating and acquiring industrial properties in Southern California infill markets.",New York Stock Exchange,REITs,cs,Real Estate,REXR,"['Real Estate', 'REIT - Industrial', 'REITs']",http://www.rexfordindustrial.com
Michael G. Nefkens,Resideo Technologies Inc.,,New York Stock Exchange,Consulting & Outsourcing,cs,Industrials,REZI,"['Industrials', 'Security & Protection Services', 'Consulting & Outsourcing']",https://www.resideo.com
John M. Turner,Regions Financial Corporation,"Regions Financial Corp is a regional bank headquartered in Alabama, with branches primarily in the southeastern and midwestern United States. It provides banking and bank-related services to individual and corporate customers.",New York Stock Exchange,Banks,cs,Financial Services,RF,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.regions.com
